,course_name,course_category,course_subcategory,students_enrolled,course_difficulty,course_rating,course_rating_count
2649,Sensor Manufacturing and Process Control,Physical Science and Engineering,Electrical Engineering,"26,008",Intermediate Level,4.6,
2650,Sensors and Sensor Circuit Design,Physical Science and Engineering,Electrical Engineering,"88,803",Advanced Level,4.6,579 ratings
2651,Search Engine Optimization Fundamentals,Business,Marketing,"243,113",Approx. 30 hours to complete,4.7,"2,134 ratings"
2652,Website Optimization Client Report Project,Business,Marketing,"66,338",Approx. 47 hours to complete,4.7,202 ratings
2653,Advanced Search Engine Optimization Strategies,Business,Marketing,"30,016",Approx. 25 hours to complete,4.5,422 ratings
2654,Advanced Content and Social Tactics to Optimize SEO,Business,Marketing,"76,342",Approx. 18 hours to complete,4.5,709 ratings
2655,Natural Language Processing with Sequence Models,Data Science,Machine Learning,"236,566",Approx. 19 hours to complete,4.6,328 ratings
2656,Sequence Models for Time Series and Natural Language Processing,Data Science,Machine Learning,"24,218",Advanced Level,4.4,417 ratings
2657,Serious Gaming,Social Sciences,Education,"11,748",Approx. 10 hours to complete,4.5,227 ratings
2658,"Server-side Development with NodeJS, Express and MongoDB",Computer Science,Mobile and Web Development,"420,885",Intermediate Level,4.7,"1,781 ratings"
2659,Service-Oriented Architecture,Computer Science,Software Development,"46,952",Intermediate Level,4.5,335 ratings
2660,Introduction to Who Wrote Shakespeare,Arts and Humanities,History,"15,617",Beginner Level,4.7,
2661,"William Shakespeare's Twelfth Night: Comedy, Conflict, and Community",Arts and Humanities,History,"8,793",Beginner Level,,
2662,Sharing Cities: Governance and Urban Sustainability,Physical Science and Engineering,Environmental Science and Sustainability,"12,343",Approx. 12 hours to complete,4.7,68 ratings
2663,Silicon Thin Film Solar Cells,Physical Science and Engineering,Electrical Engineering,"12,095",Approx. 5 hours to complete,4.2,89 ratings
2664,Simple Regression Analysis in Public Health ,Health,Public Health,"24,700",Approx. 14 hours to complete,4.7,200 ratings
2665,"Simulation, Algorithm Analysis, and Pointers",Computer Science,Software Development,"5,935",Beginner Level,4.5,22 ratings
2666,Simulation Analysis for Mechanical Engineers with Autodesk Fusion 360,Physical Science and Engineering,Mechanical Engineering,"72,307",Intermediate Level,4.8,468 ratings
2667,Simulation Skills: This is Your Brain on the Future,Business,Business Essentials,"28,122",Beginner Level,4.8,152 ratings
2668,Singing Popular Music,Arts and Humanities,Music and Art,"56,685",Beginner Level,4.5,65 ratings
2669,Single Page Web Applications with AngularJS,Computer Science,Mobile and Web Development,"127,744",Intermediate Level,4.9,"1,726 ratings"
2670,Calculus: Single Variable Part 1 - Functions,Math and Logic,Math and Logic,"79,120",Approx. 14 hours to complete,4.7,"1,534 ratings"
2671,Site Reliability Engineering: Measuring and Managing Reliability,Information Technology,Cloud Computing,"116,675",Advanced Level,4.5,487 ratings
2672,Six Sigma Tools for Analyze,Business,Business Essentials,"87,809",Beginner Level,4.7,"1,109 ratings"
2673,Six Sigma Advanced Analyze Phase,Business,Leadership and Management,"39,760",Intermediate Level,4.7,593 ratings
2674,Six Sigma Advanced Define and Measure Phases,Business,Leadership and Management,"88,450",Intermediate Level,4.7,
2675,Six Sigma Tools for Improve and Control,Business,Business Essentials,"111,463",Beginner Level,4.8,653 ratings
2676,Six Sigma Advanced Improve and Control Phases,Business,Leadership and Management,"67,886",Intermediate Level,4.8,376 ratings
2677,Six Sigma and the Organization (Advanced),Business,Leadership and Management,"190,271",Intermediate Level,4.7,
2678,Six Sigma Principles ,Business,Business Essentials,"374,311",Beginner Level,4.6,"3,835 ratings"
2679,Six Sigma Tools for Define and Measure,Business,Business Essentials,"97,026",Beginner Level,4.6,
2680,Skepticism,Arts and Humanities,Philosophy,"8,662",Beginner Level,4.7,36 ratings
2681,Skills for Nursing Informatics Leaders,Health,Health Informatics,"11,129",Beginner Level,4.8,82 ratings
2682,How to Get Skilled: Introduction to Individual Skills Management (Project-Centered Course),Personal Development,Personal Development,"39,402",Intermediate Level,3.8,159 ratings
2683,"Sleep: Neurobiology, Medicine, and Society",Health,Basic Science,"52,947",Beginner Level,4.8,
2684,Presentation skills: Designing Presentation Slides,Personal Development,Personal Development,"255,836",Approx. 307 hours to complete,4.7,
2685,"Smart Analytics, Machine Learning, and AI on GCP",Information Technology,Cloud Computing,"66,237",Intermediate Level,4.6,
2686,Smart Cities – Management of Smart Urban Infrastructures,Social Sciences,Governance and Society,"53,949",Beginner Level,4.6,"1,013 ratings"
2687,Smart Device & Mobile Emerging Technologies,Information Technology,Cloud Computing,"47,957",Beginner Level,4.7,229 ratings
2688,Smart Contracts,Computer Science,Software Development,"74,931",Approx. 17 hours to complete,4.6,"1,516 ratings"
2689,Social Business Model and Planning for Social Innovation,Business,Entrepreneurship,"10,746",Beginner Level,4.7,
2690,"Gender, Family, and Social Change in Contemporary South Korea",Social Sciences,Governance and Society,"25,637",Beginner Level,4.7,151 ratings
2691,Social Computing,Social Sciences,Governance and Society,"13,307",Approx. 9 hours to complete,4.4,789 ratings
2692,Social and Economic Networks:  Models and Analysis,Social Sciences,Economics,"45,801",Advanced Level,4.8,570 ratings
2693,Becoming a Social Entrepreneur: Getting Started,Business,Entrepreneurship,"3,384",Beginner Level,,
2694,Identifying Social Entrepreneurship Opportunities,Business,Entrepreneurship,"41,349",Beginner Level,4.7,198 ratings
2695,"Social Services for Families, Seniors and Those with Disabilities",Social Sciences,Governance and Society,"3,301",Approx. 11 hours to complete,4.8,86 ratings
2696,"Content, Advertising & Social IMC",Business,Marketing,"41,868",Approx. 8 hours to complete,4.7,
2697,Social Impact Strategy: Tools for Entrepreneurs and Innovators,Business,Entrepreneurship,"29,596",Beginner Level,4.8,825 ratings
2698,Unleashing the Impact of your Social Enterprise,Business,Entrepreneurship,"8,907",Beginner Level,4.5,38 ratings
2699,Becoming a changemaker: Introduction to Social Innovation,Business,Entrepreneurship,"138,754",Beginner Level,4.8,"1,113 ratings"
2700,Social Marketing Capstone Project,Business,Marketing,"12,765",Approx. 7 hours to complete,4.9,223 ratings
2701,Social Media Advertising,Business,Marketing,"120,006",Beginner Level,4.6,
2702,Fundamentals of Social Media Advertising,Business,Marketing,"14,787",Beginner Level,,
2703,Introduction to Social Media Analytics,Business,Marketing,"15,672",Approx. 9 hours to complete,4.4,68 ratings
2704,Social Media Data Analytics,Data Science,Data Analysis,"34,120",Intermediate Level,4.2,
2705,Social Media Management ,Business,Marketing,"183,612",Approx. 10 hours to complete,4.8,
2706,Introduction to Social Media Marketing,Business,Marketing,"717,752",Beginner Level,4.9,210 ratings
2707,Social Network Analysis,Data Science,Data Analysis,"27,958",Beginner Level,4.7,103 ratings
2708,Social Pedagogy across Europe ,Social Sciences,Education,"10,101",Intermediate Level,4.5,26 ratings
2709,Social Psychology,Health,Psychology,"935,785",Beginner Level,4.7,"3,006 ratings"
2710,Methods and Statistics in Social Science - Final Research Project,Health,Psychology,"15,819",Beginner Level,4.2,29 ratings
2711,Social Science Approaches to the Study of Chinese Society Part 2,Social Sciences,Education,"4,092",Beginner Level,,
2712,Social Science Approaches to the Study of Chinese Society Part 1,Social Sciences,Education,"7,629",Beginner Level,4.5,31 ratings
2713,Social Work Practice: Advocating Social Justice and Change,Social Sciences,Education,"47,456",Approx. 12 hours to complete,4.9,
2714,Software Architecture,Computer Science,Software Development,"75,413",Intermediate Level,4.5,458 ratings
2715,Software Design as an Abstraction,Computer Science,Software Development,"6,687",Intermediate Level,4.8,100 ratings
2716,Software Design as an Element of the Software Development Lifecycle,Computer Science,Software Development,"9,006",Approx. 11 hours to complete,4.6,172 ratings
2717,Software Design Methods and Tools,Computer Science,Software Development,"7,079",Intermediate Level,4.8,84 ratings
2718,Software Design Threats and Mitigations,Computer Science,Software Development,"4,818",Intermediate Level,4.8,
2719,Software Development Processes and Methodologies,Computer Science,Software Development,"455,515",Beginner Level,4.6,842 ratings
2720,Software Processes and Agile Practices,Computer Science,Design and Product,"153,946",Approx. 8 hours to complete,4.7,
2721,Software Product Management Capstone,Computer Science,Design and Product,"107,365",Approx. 19 hours to complete,4.8,751 ratings
2722,Software Requirements Prioritization: Risk Analysis,Computer Science,Software Development,"6,052",Beginner Level,4.7,74 ratings
2723,Software Security ,Computer Science,Computer Security and Networks,"80,005",Approx. 18 hours to complete,4.6,
2724,Organic Solar Cells - Theory and Practice,Physical Science and Engineering,Chemistry,"59,150",Approx. 23 hours to complete,4.7,"1,002 ratings"
2725,Introduction to solar cells,Physical Science and Engineering,Environmental Science and Sustainability,"191,028",Beginner Level,4.8,
2726,Solar Energy and Electrical System Design,Physical Science and Engineering,Environmental Science and Sustainability,"78,135",Intermediate Level,4.7,210 ratings
2727,Solar Energy Basics,Physical Science and Engineering,Environmental Science and Sustainability,"223,417",Approx. 15 hours to complete,4.7,
2728,"Solar Energy Codes, Permitting and Zoning",Physical Science and Engineering,Environmental Science and Sustainability,"26,150",Intermediate Level,4.8,47 ratings
2729,Solar Energy System Design,Physical Science and Engineering,Electrical Engineering,"58,124",Approx. 17 hours to complete,4.7,39 ratings
2730,Solar Energy Systems Overview,Physical Science and Engineering,Environmental Science and Sustainability,"80,548",Beginner Level,4.7,343 ratings
2731,The Science of the Solar System,Physical Science and Engineering,Physics and Astronomy,"79,069",Approx. 28 hours to complete,4.8,532 ratings
2732,Municipal Solid Waste Management in Developing Countries,Physical Science and Engineering,Environmental Science and Sustainability,"114,058",Intermediate Level,4.8,"2,479 ratings"
2733,Unravelling solutions for Future Food problems,Health,Public Health,"42,429",Beginner Level,4.6,95 ratings
2734,Solving Algorithms for Discrete Optimization,Computer Science,Software Development,"8,255",Intermediate Level,4.8,33 ratings
2735,Songwriting: Writing the Lyrics,Arts and Humanities,Music and Art,"142,514",Approx. 22 hours to complete,4.8,571 ratings
2736,Soul Beliefs: Causes and Consequences - Unit 1: Historical Foundations,Social Sciences,Governance and Society,"10,297",Approx. 19 hours to complete,4.5,
2737,Soul Beliefs: Causes and Consequences - Unit 2: Belief Systems,Arts and Humanities,History,"4,719",Approx. 17 hours to complete,4.6,157 ratings
2738,Soul Beliefs: Causes and Consequences - Unit 3: How Does It All End?,Health,Psychology,"4,208",Approx. 13 hours to complete,4.4,84 ratings
2739,Sound and Sonification Design for Interactive Learning Tools,Social Sciences,Education,"5,603",Intermediate Level,,5 ratings
2740,Supply Chain Sourcing,Business,Business Strategy,"167,818",Beginner Level,4.7,"1,297 ratings"
2741,Digitalisation in Space Research,Physical Science and Engineering,Mechanical Engineering,"8,306",Intermediate Level,,
2742,Kinematics: Describing the Motions of Spacecraft,Physical Science and Engineering,Physics and Astronomy,"57,467",Advanced Level,4.9,
2743,Kinetics: Studying Spacecraft Motion,Physical Science and Engineering,Physics and Astronomy,"24,149",Advanced Level,4.8,77 ratings
2744,Spanish Vocabulary: Careers and Social Events,Language Learning,Other Languages,"104,878",Beginner Level,4.8,
2745,Spanish Vocabulary: Cultural Experience,Language Learning,Other Languages,"239,325",Beginner Level,4.6,350 ratings
2746,Spanish Vocabulary: Meeting People,Language Learning,Other Languages,"694,506",Beginner Level,4.6,"1,977 ratings"
2747,Spanish Vocabulary Project,Language Learning,Other Languages,"68,604",Beginner Level,4.8,74 ratings
2748,"Spanish Vocabulary: Sports, Travel, and the Home",Language Learning,Other Languages,"139,811",Beginner Level,4.6,156 ratings
2749,Distributed Computing with Spark SQL,Data Science,Machine Learning,"63,325",Intermediate Level,4.5,189 ratings
2750,Geospatial and Environmental Analysis,Physical Science and Engineering,Environmental Science and Sustainability,"63,046",Approx. 13 hours to complete,4.8,
2751,Spatial Analysis and Satellite Imagery in a GIS,Physical Science and Engineering,Environmental Science and Sustainability,"73,626",Beginner Level,4.9,
2752,Spatial Data Science and Applications,Data Science,Data Analysis,"33,508",Intermediate Level,4.4,
2753,"Speak English Professionally: In Person, Online & On the Phone",Language Learning,Learning English,"2,076,212",Approx. 16 hours to complete,4.7,"7,347 ratings"
2754,Speaking to Inspire: Ceremonial and Motivational Speeches,Personal Development,Personal Development,"37,814",Beginner Level,4.7,
2755,Advanced Speaking and Listening Project,Language Learning,Learning English,"5,648",Intermediate Level,5.0,
2756,Specialty Topics: Biology Across Disciplines,Health,Basic Science,"3,022",Beginner Level,,
2757,Introduction to Molecular Spectroscopy,Physical Science and Engineering,Chemistry,"116,067",Intermediate Level,4.7,"1,480 ratings"
2758,Presentation skills: Speechwriting and Storytelling,Personal Development,Personal Development,"66,380",Approx. 460 hours to complete,4.6,288 ratings
2759,Sport Sponsorship. Let them Play,Business,Marketing,"10,533",Beginner Level,4.4,
2760,Becoming a Sports Agent,Social Sciences,Law,"19,615",Beginner Level,4.7,96 ratings
2761,Sports and Building Aerodynamics,Physical Science and Engineering,Environmental Science and Sustainability,"44,173",Intermediate Level,4.8,160 ratings
2762,Sports Marketing,Business,Marketing,"52,819",Intermediate Level,4.7,649 ratings
2763,Sports and Society,Social Sciences,Governance and Society,"39,299",Approx. 12 hours to complete,4.8,
2764,Databases and SQL for Data Science,Data Science,Data Analysis,"704,753",Beginner Level,4.7,"12,066 ratings"
2765,SQL for Data Science Capstone Project,Data Science,Data Analysis,"28,896",Intermediate Level,4.0,31 ratings
2766,SQL for Data Science,Data Science,Data Analysis,"1,329,057",Beginner Level,4.6,"7,333 ratings"
2767,SRS Documents: Requirements and Diagrammatic Notations,Computer Science,Software Development,"6,542",Beginner Level,4.5,
2768,Strategic Sales Management Final Project,Business,Business Strategy,"3,074",Intermediate Level,,
2769,Stalin and Stalinism in Russian History,Arts and Humanities,History,"16,582",Beginner Level,4.7,110 ratings
2770,Standardisation & Technology,Business,Business Strategy,"6,127",Beginner Level,4.4,
2771,The Search for Great Ideas: Harnessing creativity to empower innovation. ,Business,Entrepreneurship,"9,829",Approx. 7 hours to complete,3.9,68 ratings
2772,Capstone - Launch Your Own Business!,Business,Entrepreneurship,"1,578",Approx. 19 hours to complete,,
2773,Startup: How to build a successful business?,Business,Business Strategy,"2,827",Beginner Level,,
2774,Action-Driven Business Plan: From the ‘Classroom’ to the World,Business,Entrepreneurship,"37,851",Approx. 10 hours to complete,,
2775,Cracking the Creativity Code: Discovering Ideas,Business,Entrepreneurship,"91,022",Approx. 12 hours to complete,4.7,867 ratings
2776,From Idea to Startup,Business,Entrepreneurship,"101,066",Approx. 20 hours to complete,4.8,594 ratings
2777,Innovation Career Lessons from a Master,Business,Entrepreneurship,"50,409",Beginner Level,4.8,
2778,How to Finance and Grow Your Startup – Without VC,Business,Entrepreneurship,"40,830",Beginner Level,4.6,
2779,Capstone Course: Start Up Your Fintech Future,Business,Entrepreneurship,"1,955",Beginner Level,,
2780,New Venture Finance: Startup Funding for Entrepreneurs,Business,Entrepreneurship,"53,296",Approx. 20 hours to complete,4.6,309 ratings
2781,How to Validate your Startup Idea,Business,Entrepreneurship,"8,344",Approx. 21 hours to complete,4.4,
2782,Startup Valuation Methods,Business,Finance,"70,592",Intermediate Level,4.5,333 ratings
2783,Design Thinking and Global Startup,Business,Business Strategy,"6,702",Approx. 8 hours to complete,4.8,40 ratings
2784,Startups in open innovation,Business,Business Strategy,0,Beginner Level,,
2785,State Estimation and Localization for Self-Driving Cars,Computer Science,Software Development,"114,709",Approx. 27 hours to complete,4.7,
2786,Statistics for Genomic Data Science,Data Science,Probability and Statistics,"28,202",Approx. 9 hours to complete,4.2,257 ratings
2787,Statistical Inference,Data Science,Probability and Statistics,"196,234",Approx. 54 hours to complete,4.2,"4,031 ratings"
2788,Improving your statistical inferences,Data Science,Probability and Statistics,"60,830",Intermediate Level,4.9,
2789,Statistical Mechanics: Algorithms and Computations,Physical Science and Engineering,Physics and Astronomy,"20,474",Approx. 16 hours to complete,4.8,230 ratings
2790,Statistical Molecular Thermodynamics,Physical Science and Engineering,Chemistry,"24,356",Beginner Level,4.9,263 ratings
2791,Statistical Thermodynamics: Molecules to Machines,Physical Science and Engineering,Mechanical Engineering,"5,999",Intermediate Level,4.0,40 ratings
2792,"Statistical Thinking for Industrial Problem Solving, presented by JMP",Data Science,Data Analysis,"38,913",Approx. 44 hours to complete,4.8,17 ratings
2793,Statistics for International Business,Business,Finance,"57,023",Approx. 10 hours to complete,3.7,
2794,Statistics with R Capstone,Data Science,Probability and Statistics,"14,596",Approx. 6 hours to complete,4.6,174 ratings
2795,Non-Equilibrium Applications of Statistical Thermodynamics,Physical Science and Engineering,Mechanical Engineering,"6,944",Advanced Level,4.4,59 ratings
2796,"English for Science, Technology, Engineering, and Mathematics",Language Learning,Learning English,"113,509",Beginner Level,4.8,"1,663 ratings"
2797,The Science of Stem Cells,Health,Basic Science,"80,847",Intermediate Level,4.7,
2798,Stochastic processes,Math and Logic,Math and Logic,"55,816",Intermediate Level,4.5,317 ratings
2799,Stories of Infection,Health,Public Health,"43,646",Intermediate Level,4.9,"1,170 ratings"
2800,Capstone: Your Story,Arts and Humanities,Music and Art,"21,481",Approx. 7 hours to complete,4.6,
2801,Foundations of strategic business analytics,Business,Business Essentials,"42,957",Approx. 8 hours to complete,4.4,
2802,Capstone:  Create Value from Open Data,Business,Business Strategy,"6,703",Approx. 10 hours to complete,4.0,36 ratings
2803,Strategic Business Management - Macroeconomics,Business,Business Strategy,"24,423",Beginner Level,4.8,92 ratings
2804,Strategic Business Management - Microeconomics,Business,Business Strategy,"58,719",Beginner Level,4.7,
2805,Strategic Career Self-Management,Personal Development,Personal Development,"47,757",Approx. 15 hours to complete,4.4,246 ratings
2806,Strategic Innovation: Building and Sustaining Innovative Organizations,Business,Marketing,"134,916",Approx. 20 hours to complete,4.8,
2807,Strategic Innovation: Managing Innovation Initiatives,Business,Marketing,"87,610",Intermediate Level,4.8,
2808,Strategic Leadership and Management Capstone,Business,Leadership and Management,"18,082",Approx. 10 hours to complete,4.7,
2809,Strategic management: Be competitive,Business,Business Strategy,"16,233",Beginner Level,4.8,
2810,Strategic Sourcing,Business,Leadership and Management,"16,817",Beginner Level,4.7,62 ratings
2811,Business Strategy,Business,Business Strategy,"130,590",Approx. 17 hours to complete,4.8,
2812,Strategy Formulation,Business,Business Strategy,"43,913",Approx. 16 hours to complete,4.5,
2813,Strategy Implementation,Business,Business Strategy,"46,713",Approx. 17 hours to complete,4.7,778 ratings
2814,"Making Successful Decisions through the Strategy, Law & Ethics Model",Business,Business Essentials,"27,557",Beginner Level,4.8,277 ratings
2815,Strategy and Sustainability,Business,Business Strategy,"22,595",Beginner Level,4.6,241 ratings
2816,Building Resilient Streaming Analytics Systems on GCP,Information Technology,Cloud Computing,"66,411",Intermediate Level,4.6,797 ratings
2817,Strengthening Your Widening Network ,Personal Development,Personal Development,"7,147",Intermediate Level,4.5,65 ratings
2818,The World of the String Quartet,Arts and Humanities,Music and Art,"13,789",Approx. 24 hours to complete,4.7,356 ratings
2819,Structuring Values in Modern China,Arts and Humanities,History,"4,371",Approx. 25 hours to complete,4.6,13 ratings
2820,Study Designs in Epidemiology,Health,Public Health,"20,391",Approx. 8 hours to complete,4.8,350 ratings
2821,Studying at Japanese Universities,Personal Development,Personal Development,"29,493",Beginner Level,4.8,316 ratings
2822,Applying to U.S. Universities,Personal Development,Personal Development,"22,497",Beginner Level,4.8,464 ratings
2823,Studying Cities: Social Science Methods for Urban Research,Social Sciences,Education,"29,625",Approx. 7 hours to complete,4.7,80 ratings
2824,Subsistence Marketplaces,Business,Leadership and Management,"2,053",Beginner Level,4.4,
2825,Sustainable Innovation for Subsistence Marketplaces,Business,Leadership and Management,"11,664",Beginner Level,4.2,
2826,The Science of Success: What Researchers Know that You Should Know,Business,Leadership and Management,"222,167",Beginner Level,4.8,"1,853 ratings"
2827,علم النجاح: ما يجب أن تعرفه من الباحثين ,Business,Leadership and Management,"11,766",Beginner Level,,56 ratings
2828,Successful Interviewing,Language Learning,Learning English,"31,179",Approx. 19 hours to complete,4.7,
2829,Summary Statistics in Public Health ,Health,Public Health,"76,283",Approx. 14 hours to complete,4.8,931 ratings
2830, Supervised Learning: Classification,Data Science,Machine Learning,"13,415",Intermediate Level,,7 ratings
2831,Supervised Learning: Regression,Data Science,Machine Learning,"14,357",Intermediate Level,,9 ratings
2832,Supplier Management,Business,Leadership and Management,"31,170",Beginner Level,4.8,51 ratings
2833,Supply Chain Analytics Essentials,Business,Business Essentials,"66,957",Beginner Level,4.5,
2834,Managing Supply Chain Disruption During COVID-19,Business,Leadership and Management,"25,980",Beginner Level,4.7,
2835,Supply Chain Excellence,Business,Business Strategy,"21,729",Approx. 12 hours to complete,4.8,19 ratings
2836,Supply Chain Finance Market and Fintech Ecosystem,Business,Finance,"3,418",Approx. 7 hours to complete,,52 ratings
2837,Supply Chain Logistics,Business,Business Essentials,"673,005",Beginner Level,4.7,"5,591 ratings"
2838,Supply Chain Management: A Learning Perspective ,Business,Business Strategy,"57,100",Approx. 18 hours to complete,4.7,919 ratings
2839,Supply chain management: Be global,Business,Business Strategy,"39,614",Beginner Level,4.8,130 ratings
2840,Supply Chain Management Strategy,Business,Business Strategy,"143,654",Approx. 12 hours to complete,4.8,589 ratings
2841,Supply Chain Principles,Business,Business Essentials,"110,721",Approx. 12 hours to complete,4.6,"1,149 ratings"
2842,Supply Market Analysis,Business,Leadership and Management,"10,353",Beginner Level,4.7,
2843,Supporting Families and Caregivers,Health,Patient Care,0,Approx. 10 hours to complete,,
2844,Supporting Parents of a Newborn Baby,Health,Patient Care,"8,740",Beginner Level,4.8,
2845,Survey analysis to Gain Marketing Insights,Business,Marketing,"6,946",Approx. 5 hours to complete,4.5,
2846,Survey Data Collection and Analytics Project (Capstone),Health,Psychology,"3,588",Approx. 12 hours to complete,,
2847,Survival Analysis in R for Public Health,Health,Public Health,"29,216",Approx. 11 hours to complete,4.5,173 ratings
2848,Surviving Disruptive Technologies (On Demand),Business,Leadership and Management,"2,615",Beginner Level,4.6,41 ratings
2849,Introduction to Sustainability,Physical Science and Engineering,Environmental Science and Sustainability,"384,461",Approx. 25 hours to complete,4.8,
2850,Sustainable Vikings:  Sustainability & Corporate Social Responsibility in Scandinavia  ,Business,Leadership and Management,"7,059",Beginner Level,4.8,64 ratings
2851,Ash-Related Operational Challenges in Energy Utilization of Sustainable Fuels,Physical Science and Engineering,Environmental Science and Sustainability,"13,828",Approx. 69 hours to complete,,12 ratings
2852,Capstone: Creating A Sustainability Proposal,Business,Leadership and Management,"2,534",Intermediate Level,5.0,
2853,"Sustainability of Social-Ecological Systems: the Nexus between Water, Energy and Food",Physical Science and Engineering,Environmental Science and Sustainability,"16,264",Intermediate Level,4.5,43 ratings
2854,Sustainability through Soccer: Systems-Thinking in Action,Physical Science and Engineering,Environmental Science and Sustainability,"4,270",Beginner Level,3.7,27 ratings
2855,Sustainable Agricultural Land Management,Physical Science and Engineering,Environmental Science and Sustainability,"57,560",Beginner Level,4.8,196 ratings
2856,First Steps in Making the Business Case for Sustainability,Business,Leadership and Management,"15,696",Beginner Level,4.7,
2857,"Sustainable Business: Big Issues, Big Changes",Business,Leadership and Management,"7,567",Beginner Level,4.7,33 ratings
2858,Sustainable Business Enterprises,Business,Business Strategy,"5,748",Approx. 20 hours to complete,4.3,104 ratings
2859,The Age of Sustainable Development,Physical Science and Engineering,Environmental Science and Sustainability,"88,486",Approx. 30 hours to complete,4.8,"2,307 ratings"
2860,Sustainable Development in the 21st Century with Ban Ki-moon,Social Sciences,Governance and Society,"37,106",Beginner Level,4.8,149 ratings
2861,Sustainable Fashion,Business,Business Strategy,"125,016",Beginner Level,4.8,371 ratings
2862,Principles of Sustainable Finance ,Business,Finance,"74,058",Intermediate Level,4.7,171 ratings
2863,Sustainable Tourism – promoting environmental public health,Health,Basic Science,"102,047",Beginner Level,4.6,690 ratings
2864,Introduction to Programming in Swift 5,Computer Science,Software Development,"38,125",Beginner Level,4.5,
2865,"Tables, Data & Networking in iOS",Computer Science,Mobile and Web Development,"15,105",Advanced Level,4.6,
2866,Introduction To Swift Programming,Computer Science,Mobile and Web Development,"26,202",Approx. 8 hours to complete,3.9,
2867,Symmetric Cryptography,Computer Science,Computer Security and Networks,"52,451",Intermediate Level,4.5,171 ratings
2868,Symptom Management in Palliative Care,Health,Patient Care,0,Approx. 9 hours to complete,,
2869,"Synapses, Neurons and Brains ",Health,Basic Science,"30,898",Approx. 20 hours to complete,4.8,930 ratings
2870,"Engineering Life: Synbio, Bioethics & Public Policy",Health,Public Health,"10,678",Intermediate Level,4.2,49 ratings
2871,Population Health: Syndemics,Health,Public Health,"1,802",Intermediate Level,,
2872, System Administration and IT Infrastructure Services,Information Technology,Support and Operations,"1,799,479",Beginner Level,4.7,"9,795 ratings"
2873,Basic System Programming on IBM Z,Information Technology,Support and Operations,"21,158",Intermediate Level,4.8,221 ratings
2874,System Validation (2): Model process behaviour,Computer Science,Software Development,"2,283",Intermediate Level,,
2875,System Validation (3): Requirements by modal formulas,Computer Science,Software Development,"1,910",Advanced Level,,10 ratings
2876,"System Validation (4): Modelling Software, Protocols, and other behaviour",Computer Science,Software Development,"1,613",Advanced Level,,
2877,Introduction to Systematic Review and Meta-Analysis,Health,Research,"177,448",Approx. 14 hours to complete,4.8,"2,187 ratings"
2878,Systems and Application Security,Information Technology,Security,"6,850",Beginner Level,4.8,78 ratings
2879,Introduction to Systems Biology,Health,Basic Science,"35,406",Approx. 19 hours to complete,4.3,
2880,Systems Biology and Biotechnology Capstone,Physical Science and Engineering,Research Methods,0,Approx. 2 hours to complete,,
2881,Introduction to Systems Engineering,Physical Science and Engineering,Electrical Engineering,"58,896",Approx. 22 hours to complete,4.7,453 ratings
2882,Developing a Systems Mindset,Business,Leadership and Management,"10,464",Beginner Level,4.1,54 ratings
2883,Systems Science and Obesity,Health,Public Health,"10,118",Beginner Level,4.6,
2884,Systems Thinking In Public Health,Health,Public Health,"28,302",Approx. 13 hours to complete,4.6,
2885,التقانة والمستشعرات النانوية - الجزء الاول,Physical Science and Engineering,Chemistry,"2,521",Approx. 12 hours to complete,,
2886,التقانة والمستشعرات النانوية - الجزء الثاني,Physical Science and Engineering,Chemistry,0,Approx. 17 hours to complete,,
2887,So You Think You Know Tango?,Arts and Humanities,Music and Art,"3,518",Beginner Level,4.5,57 ratings
2888,Taxation of Business Entities I: Corporations,Business,Business Essentials,"50,243",Intermediate Level,4.7,110 ratings
2889,Taxation of Business Entities II: Pass-Through Entities,Business,Business Essentials,"15,247",Intermediate Level,4.8,
2890,TCP/IP and Advanced Topics,Computer Science,Computer Security and Networks,"95,972",Approx. 16 hours to complete,4.7,295 ratings
2891,Introduction to TCP/IP,Computer Science,Computer Security and Networks,"110,879",Beginner Level,4.6,"1,113 ratings"
2892,Teaching Children with Visual Impairment: Creating Empowering Classrooms,Social Sciences,Education,"35,457",Beginner Level,4.9,47 ratings
2893,Capstone Project: Teaching Impacts of Technology,Social Sciences,Education,0,Beginner Level,,
2894,"Teaching Impacts of Technology: Data Collection, Use, and Privacy",Social Sciences,Education,"4,278",Beginner Level,,
2895,Teaching Impacts of Technology: Fundamentals,Social Sciences,Education,"8,812",Beginner Level,4.9,
2896,Teaching Impacts of Technology: Global Society,Social Sciences,Education,0,Beginner Level,,
2897,Teaching Impacts of Technology: Relationships,Social Sciences,Education,"4,664",Beginner Level,,
2898,Teaching Impacts of Technology: Workplace of the Future,Social Sciences,Education,"3,229",Beginner Level,,
2899,Learn to Teach Java:  ArrayLists and 2D Arrays,Social Sciences,Education,0,Beginner Level,,
2900,"Learn to Teach Java:   Boolean Expressions, If Statements, and Iteration",Social Sciences,Education,"3,166",Beginner Level,,
2901,Learn to Teach Java:  Writing Classes and Arrays,Social Sciences,Education,"1,566",Beginner Level,,
2902,Learn to Teach Java: Inheritance and Recursion,Social Sciences,Education,"1,658",Beginner Level,,
2903,"Learn to Teach Java:  Sequences, Primitive Types and Using Objects",Social Sciences,Education,"6,955",Beginner Level,4.8,19 ratings
